iter	Passed	Remaining
413	3294	4662
414	3302	4654
415	3310	4647
416	3318	4639
417	3326	4631
418	3335	4624
419	3343	4617
420	3352	4610
421	3360	4602
422	3368	4594
423	3376	4586
424	3383	4577
425	3391	4570
426	3399	4561
427	3407	4553
428	3415	4546
429	3423	4537
430	3431	4530
431	3439	4522
432	3447	4513
433	3454	4505
434	3462	4497
435	3471	4490
436	3479	4482
437	3487	4474
438	3494	4466
439	3502	4458
440	3510	4450
441	3519	4443
442	3528	4436
443	3537	4429
444	3544	4420
445	3552	4412
446	3560	4404
447	3568	4396
448	3575	4387
449	3583	4380
450	3592	4372
451	3600	4365
452	3608	4357
453	3616	4349
454	3625	4342
455	3633	4334
456	3640	4326
457	3648	4318
458	3656	4309
459	3664	4301
460	3672	4293
461	3681	4286
462	3688	4278
463	3696	4270
464	3704	4261
465	3712	4254
466	3720	4246
467	3728	4238
468	3736	4230
469	3744	4222
470	3752	4214
471	3760	4206
472	3768	4199
473	3777	4191
474	3785	4183
475	3793	4175
476	3801	4167
477	3809	4159
478	3817	4152
479	3825	4144
480	3834	4137
481	3842	4129
482	3850	4121
483	3858	4113
484	3866	4105
485	3874	4097
486	3882	4089
487	3891	4082
488	3899	4075
489	3908	4067
490	3916	4059
491	3924	4051
492	3932	4043
493	3939	4035
494	3948	4028
495	3956	4020
496	3965	4013
497	3973	4004
498	3980	3996
499	3988	3988
500	3996	3980
501	4004	3972
502	4012	3964
503	4020	3956
504	4031	3952
505	4039	3944
506	4047	3936
507	4057	3929
508	4065	3921
509	4072	3913
510	4080	3905
511	4088	3896
512	4096	3888
513	4104	3880
514	4112	3873
515	4121	3865
516	4129	3858
517	4138	3851
518	4146	3842
519	4154	3835
520	4162	3827
521	4170	3819
522	4179	3812
523	4187	3803
524	4195	3796
525	4204	3788
526	4212	3781
527	4220	3773
528	4229	3765
529	4237	3757
530	4245	3749
531	4253	3741
532	4261	3733
533	4269	3725
534	4277	3717
535	4284	3709
536	4292	3701
537	4300	3692
538	4308	3684
539	4316	3677
540	4324	3668
541	4331	3660
542	4339	3652
543	4347	3644
544	4355	3636
545	4363	3628
546	4371	3620
547	4379	3612
548	4388	3604
549	4396	3597
550	4404	3588
551	4412	3580
552	4420	3573
553	4429	3565
554	4437	3558
555	4445	3550
556	4453	3541
557	4461	3533
558	4469	3525
559	4476	3517
560	4484	3509
561	4492	3500
562	4500	3493
563	4508	3485
564	4516	3477
565	4524	3469
566	4531	3460
567	4539	3452
568	4548	3445
569	4555	3436
570	4563	3428
571	4570	3420
572	4579	3412
573	4587	3404
574	4595	3396
575	4603	3388
576	4611	3380
577	4620	3373
578	4627	3364
579	4635	3356
580	4643	3349
581	4652	3341
582	4660	3333
583	4668	3325
584	4675	3317
585	4683	3309
586	4692	3301
587	4700	3293
588	4708	3285
589	4716	3277
590	4724	3269
591	4732	3261
592	4739	3253
593	4747	3244
594	4756	3237
595	4763	3229
596	4771	3221
597	4779	3212
598	4787	3204
599	4795	3196
600	4802	3188
601	4810	3180
602	4818	3172
603	4825	3163
604	4833	3155
605	4841	3147
606	4850	3140
607	4858	3132
608	4866	3124
609	4873	3115
610	4881	3107
611	4888	3099
612	4896	3090
613	4904	3082
614	4912	3075
615	4920	3067
616	4927	3058
617	4935	3051
618	4944	3043
619	4952	3035
620	4960	3027
621	4968	3019
622	4976	3011
623	4984	3003
624	4992	2995
625	5000	2987
626	5008	2979
627	5016	2971
628	5023	2963
629	5031	2955
630	5039	2947
631	5047	2939
632	5055	2931
633	5063	2922
634	5070	2914
635	5078	2906
636	5086	2898
637	5094	2890
638	5102	2882
639	5110	2874
640	5117	2866
641	5125	2858
642	5133	2850
643	5141	2842
644	5149	2834
645	5157	2826
646	5166	2818
647	5173	2810
648	5181	2802
649	5189	2794
650	5197	2786
651	5205	2778
652	5214	2770
653	5222	2762
654	5230	2754
655	5237	2746
656	5245	2738
657	5253	2730
658	5261	2722
659	5268	2714
660	5276	2706
661	5284	2698
662	5292	2690
663	5300	2682
664	5309	2674
665	5317	2666
666	5325	2658
667	5333	2650
668	5341	2642
669	5349	2634
670	5357	2626
671	5364	2618
672	5372	2610
673	5380	2602
674	5387	2594
675	5395	2585
676	5403	2578
677	5411	2570
678	5419	2562
679	5426	2553
680	5434	2545
681	5442	2537
682	5449	2529
683	5457	2521
684	5465	2513
685	5474	2505
686	5481	2497
687	5490	2489
688	5498	2481
689	5506	2473
690	5514	2465
691	5522	2457
692	5529	2449
693	5538	2441
694	5545	2433
695	5554	2425
696	5561	2417
697	5569	2409
698	5577	2401
699	5586	2394
700	5594	2386
701	5602	2378
702	5610	2370
703	5617	2362
704	5625	2353
705	5633	2346
706	5641	2338
707	5649	2330
708	5657	2322
709	5665	2314
710	5673	2306
711	5681	2298
712	5689	2290
713	5697	2282
714	5705	2274
715	5713	2266
716	5721	2258
