iter	Logloss
0	0.6558984963
1	0.6267668552
2	0.5984170043
3	0.576686843
4	0.5553900275
5	0.5378298933
6	0.5199593658
7	0.5078947408
8	0.4966656904
9	0.4853139598
10	0.4777800746
11	0.4689818998
12	0.4612075655
13	0.4547602574
14	0.4506981573
15	0.4469615433
16	0.4427743568
17	0.4391170278
18	0.4352835169
19	0.4319728513
20	0.4281038549
21	0.4256968973
22	0.4229947869
23	0.4199777262
24	0.4173812342
25	0.4159261915
26	0.4137301975
27	0.4122415607
28	0.4105932045
29	0.4094156033
30	0.4079836664
31	0.4069204741
32	0.4056723417
33	0.4047850378
34	0.4037673394
35	0.4027785879
36	0.4018862632
37	0.4009674508
38	0.4003821182
39	0.3997949607
40	0.3992124309
41	0.3980207188
42	0.3971416087
43	0.3963306485
44	0.3960131825
45	0.3952991984
46	0.394600539
47	0.393783496
48	0.3931452339
49	0.3927329571
50	0.3917987439
51	0.3913979281
52	0.3910094422
53	0.3903174456
54	0.3899083344
55	0.3896791748
56	0.3894327626
57	0.3890313334
58	0.3888146485
59	0.3884903497
60	0.388236087
61	0.3879960171
62	0.3876948086
63	0.38725615
64	0.386897253
65	0.3866797425
66	0.3863860657
67	0.3862271249
68	0.3859046247
69	0.3858192682
70	0.3856554457
71	0.385424979
72	0.3853557481
73	0.3851096162
74	0.3848033396
75	0.3844448464
76	0.3842566137
77	0.3840764939
78	0.3839995833
79	0.3839317367
80	0.3837761892
81	0.3836646156
82	0.3835566286
83	0.3835034845
84	0.3833378778
85	0.3829737312
86	0.3826326019
87	0.3825493125
88	0.3823777874
89	0.3823336756
90	0.3822006421
91	0.3821194149
92	0.3819081809
93	0.3817223143
94	0.3815238405
95	0.3814185094
96	0.3813014118
97	0.381239047
98	0.381154498
99	0.3810598242
100	0.3809507767
101	0.3807254968
102	0.3806101137
103	0.380398063
104	0.380239557
105	0.3801225099
106	0.3797849935
107	0.3796468224
108	0.379475159
109	0.3794350542
110	0.379328441
111	0.3792833989
112	0.3790814341
113	0.3790315612
114	0.378942304
115	0.3788825504
116	0.3787686986
117	0.378662701
118	0.3786069654
119	0.3781916386
120	0.3778932854
121	0.377862924
122	0.3777614256
123	0.3777276751
124	0.3776917362
125	0.3776535457
126	0.3772038356
127	0.3769590683
128	0.3769139873
129	0.3768351051
130	0.3766827731
131	0.3766398252
132	0.3766107081
133	0.3765356511
134	0.3763938123
135	0.3763006131
136	0.3761544032
137	0.376068956
138	0.3760135801
139	0.3759220815
140	0.375630531
141	0.3755936907
142	0.3754991572
143	0.3754225292
144	0.3752846268
145	0.3752043389
146	0.3751090419
147	0.3750208954
148	0.3747479412
149	0.3747024285
150	0.3746598839
151	0.3745650605
152	0.374529523
153	0.3743237298
154	0.3742323269
155	0.3742000796
156	0.3741580434
157	0.3739499982
158	0.3738499767
159	0.3738070019
160	0.3736902488
161	0.373646861
162	0.3736136997
163	0.3734722285
164	0.3733988006
165	0.3733767752
166	0.37311782
167	0.3731025407
168	0.3730837513
169	0.37294765
170	0.3728776593
171	0.3728405885
172	0.3728189162
173	0.3727782233
174	0.3727331909
175	0.3726685767
176	0.3725822459
177	0.3725355927
178	0.3725018581
179	0.3724492431
180	0.3723670744
181	0.3722878378
182	0.3722640057
183	0.372239189
184	0.3721844407
185	0.3721592547
186	0.3720887178
187	0.3720434215
188	0.3720007574
189	0.3719123058
190	0.3718920968
191	0.371871291
192	0.3718364519
193	0.3717943764
194	0.3717324011
195	0.3716847183
196	0.3716432965
197	0.3716224712
198	0.3716083376
199	0.371583851
200	0.3715408865
201	0.3712848294
202	0.3712523103
203	0.3711077843
204	0.3710741765
205	0.3710494733
206	0.3710303723
207	0.3710026426
208	0.3709380012
209	0.3709113151
210	0.3707482548
211	0.3706960839
212	0.370647892
213	0.3705559917
214	0.3705121738
215	0.3704754129
216	0.3703595509
217	0.3703332753
218	0.3703003219
219	0.3702668508
220	0.3702297692
221	0.3701777604
222	0.3699275767
223	0.3698695759
224	0.3698230739
225	0.3697838816
226	0.3696024984
227	0.3695639662
228	0.3695318001
229	0.3694985629
230	0.3694530099
231	0.3694208221
232	0.369351015
233	0.3693315456
234	0.3689666059
235	0.3689274256
236	0.3688879821
237	0.3688643688
238	0.3688142737
239	0.3687691675
240	0.3684793019
241	0.368307857
242	0.3682613315
243	0.3681925714
244	0.3679546497
245	0.3679047156
246	0.3678342027
247	0.3677600469
248	0.3677134992
249	0.3676528607
250	0.3675993863
251	0.3675494548
252	0.3675099578
253	0.3674649776
254	0.3674244187
255	0.3673715826
256	0.3673439649
257	0.3672251449
258	0.3671929385
259	0.3671684516
260	0.3668808053
261	0.3667428419
262	0.3665585969
263	0.3665248246
264	0.366458398
265	0.36638775
266	0.3663205145
267	0.3662621756
268	0.3662313104
269	0.3661995608
270	0.3661451391
271	0.3660774284
272	0.3660332026
273	0.3659934234
274	0.3659645622
275	0.3659265503
276	0.365905187
277	0.3658665928
278	0.3658224423
279	0.3657576865
280	0.3656341996
281	0.3656097805
282	0.3654935515
283	0.3654567774
284	0.3652191268
285	0.3651734531
286	0.3651255104
287	0.3649759401
288	0.3649160242
289	0.3648884401
290	0.3648547182
291	0.3648109314
292	0.3647746792
293	0.3647601884
294	0.3647255898
295	0.3646997894
296	0.3646635488
297	0.3646350656
298	0.3645418688
299	0.3644927987
300	0.3644663688
301	0.3644285816
302	0.3643960263
303	0.3643641972
304	0.3642725083
305	0.3642474858
306	0.364230034
307	0.3641718417
308	0.3640497769
309	0.3640160686
310	0.3639845234
311	0.3639442714
312	0.3639222685
313	0.3638792696
314	0.3638360532
315	0.3637242353
316	0.3636907304
317	0.3635499351
318	0.363479041
319	0.3633729584
320	0.3633438578
321	0.3632873085
322	0.3632401572
323	0.3632026351
324	0.3631684368
325	0.363128812
326	0.3630903079
327	0.362979458
328	0.3629332747
329	0.3628277345
330	0.3627482493
331	0.3627076151
332	0.3626034985
333	0.3625459662
334	0.3625279189
335	0.3624647848
336	0.3624496054
337	0.3624272334
338	0.3623941683
339	0.362351726
340	0.3623212771
341	0.3623034989
342	0.3622821751
343	0.3622439255
344	0.3622197017
345	0.3621754674
346	0.3621367684
347	0.3620982215
348	0.3620815558
349	0.3620557666
350	0.3619751756
351	0.3619473969
352	0.3619097453
353	0.3618866049
354	0.3618204335
355	0.3617890461
356	0.3617303381
357	0.3617105203
358	0.3616420291
359	0.3615995186
360	0.3615659752
361	0.361538117
362	0.3615044297
363	0.3614642646
364	0.3614297454
365	0.3613510254
366	0.3613158923
367	0.3612832676
368	0.361230679
369	0.3612116178
370	0.3611810928
371	0.3611607148
372	0.3611225958
373	0.3610899892
374	0.361068213
375	0.3610451336
376	0.3610047228
377	0.3608555232
378	0.3608240753
379	0.3607682014
380	0.3607396761
381	0.3607023398
382	0.3606438237
383	0.3606315295
384	0.3605953732
385	0.3605558428
386	0.3605062608
387	0.3604681182
388	0.3603424351
389	0.3602976084
390	0.3602589676
